ZipCode,Pop15Plus,FTAFTPS100,WhiteNH,Black,Hisp,Asian,Other,povrate,Pov,PovPop,FTA100,FTP100,DUIFTAS100,IncK
93616,1898,1.58061122894287,9.22023182297155,0.737618545837724,76.3962065331928,12.9083245521602,0.737618565559387,30.2820644378662,569,1879,4.5837721824646,1.84404635429382,0.105374075472355,31.1079998016357
91042,24274,1.58193957805634,59.4916371426217,2.6036087995386,25.8383455549147,9.15382714014996,2.91258144378662,14.9414100646973,3532,23639,2.45118236541748,0.770371615886688,0.0617945119738579,57.5
91730,52883,1.58463025093079,38.2674961707921,10.890078096931,37.8363557286841,11.6256642021065,1.38040578365326,8.55821132659912,4218,49286,2.00064301490784,1.3350225687027,0.0510561056435108,62.8559989929199
95466,820,1.5853658914566,51.7073170731707,3.41463414634146,41.219512195122,0.731707317073171,2.92682933807373,26.0377349853516,207,795,0.97560977935791,2.31707310676575,0,48.3650016784668
92071,43844,1.58744645118713,74.4366389927926,1.69920627679956,14.9872274427516,4.06441018155278,4.8125171661377,6.95961093902588,2919,41942,1.84745919704437,1.35480344295502,0.0250889509916306,71.0999984741211
90631,53848,1.58780264854431,36.1090476897935,1.63237260436785,50.8895409300253,9.57324320309018,1.79579555988312,10.8385820388794,5696,52553,1.67694246768951,0.876541376113892,0.0538552924990654,65.8040008544922
95123,50611,1.58858740329742,47.6279860109462,3.37278457252376,27.0850210428563,18.2430696884077,3.67113876342773,7.63862419128418,3809,49865,0.934579432010651,1.99363780021667,0.025686115026474,87.1800003051758
93239,1319,1.59211528301239,5.07960576194086,0,94.9203942380591,0,0,19.0365180969238,245,1287,4.16982555389404,0.227445036172867,0.0758150145411491,41.9119987487793
94560,34545,1.59212625026703,32.702272398321,4.9471703575047,30.354609929078,27.7377333912288,4.25821399688721,6.78382396697998,2320,34199,2.43740057945251,2.79056310653687,0.0434216223657131,85.8470001220703
95436,4516,1.59433126449585,81.9309123117803,0.531443755535872,12.0017714791851,2.87865367581931,2.65721869468689,11.0887098312378,495,4464,2.39149689674377,2.85651016235352,0.0442869774997234,47.4550018310547
92123,23884,1.59521019458771,51.2435102997823,7.76670574443142,18.9666722492045,16.5298944900352,5.49321699142456,10.1700887680054,2308,22694,1.90504097938538,1.01741755008698,0.0041869031265378,71.4120025634766
90680,23685,1.59594678878784,26.6286679332911,3.3227781296179,39.9831116740553,26.9031032298923,3.16233897209167,14.5912551879883,3377,23144,1.4270635843277,0.971078753471375,0.0548870600759983,49.2939987182617
91364,21453,1.59884393215179,77.0241924206405,3.13242903090477,10.8376450846036,6.34876241085163,2.6569709777832,7.31672620773315,1542,21075,2.52645325660706,0.475457966327667,0.0326294675469398,91.0999984741211
95338,9815,1.59959244728088,84.4625573102394,0.641874681609781,7.76362710137545,1.25318390219052,5.87875699996948,15.3910760879517,1466,9525,2.18033623695374,2.56749868392944,0.0611309185624123,49.7799987792969
